,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
85,stations,0,200,-34.0,24.73,1537731368,986717,1026.11,98,1026.11,1035.85,54.35,54.35,54.35,Kruisfontein,,,ZA,,0.0034,1537675699,1537719518,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",315.504,,3.71
86,stations,8,200,42.28,125.73,1537731580,2036033,960.45,90,960.45,1032.4,34.1,34.1,34.1,Liuhe,,,CN,,0.0036,1537651548,1537695127,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]",282.504,,2.82
87,stations,20,200,19.22,-104.7,1537728060,3985168,,63,1009.0,,91.4,91.4,91.4,San Patricio,,,MX,3993.0,0.0035,1537706884,1537750397,1.0,16093.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",250.0,,13.87
88,stations,75,200,60.79,-161.76,1537728780,5880568,,89,1001.0,,48.92,48.92,48.92,Bethel,,,US,28.0,0.0032,1537720575,1537764020,1.0,16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",210.0,11.8,17.22
89,stations,12,200,-11.68,-61.19,1537731581,3924908,989.23,43,989.23,1018.46,92.96,92.96,92.96,Pimenta Bueno,,,BR,,0.0028,1537696388,1537740040,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",289.504,,2.15
90,stations,20,200,-21.21,-159.78,1537729200,4035715,,64,1017.0,,75.2,75.2,75.2,Avarua,,,CK,8340.0,0.0037,1537720004,1537763744,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",80.0,,12.75
91,stations,20,200,-19.98,57.61,1537729200,934649,,78,1024.0,,73.4,73.4,73.4,Cap Malheureux,,,MU,6729.0,0.0037,1537667868,1537711556,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",110.0,,13.87
92,stations,88,200,63.05,179.32,1537731582,2126710,1015.33,99,1015.33,1023.24,45.35,45.35,45.35,Beringovskiy,,,RU,,0.0032,1537638554,1537682354,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",12.5035,,9.64
93,stations,0,200,40.56,8.32,1537728600,3183284,,88,1018.0,,71.6,71.6,71.6,Alghero,,,IT,5777.0,0.0036,1537679749,1537723271,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,1.12
94,stations,12,200,19.34,83.79,1537731583,1270818,975.04,95,975.04,1024.33,67.94,67.94,67.94,Gudari,,,IN,,0.0037,1537661640,1537705187,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",187.004,,2.15
95,stations,0,200,-6.05,26.92,1537731583,215668,952.75,40,952.75,1020.16,78.29,78.29,78.29,Kabalo,,,CD,,0.0034,1537675263,1537718877,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",75.0035,,9.75
96,stations,48,200,-39.89,176.62,1537731583,2185329,959.89,73,959.89,1020.36,50.48,50.48,50.48,Otane,,,NZ,,0.0034,1537639254,1537683081,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",313.004,,3.71
97,stations,44,200,-19.06,-169.92,1537729200,4036284,,83,1014.0,,77.0,77.0,77.0,Alofi,,,NU,8341.0,0.0036,1537722444,1537766167,1.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",30.0,,5.82
98,stations,56,200,66.94,-53.67,1537731584,3419842,969.45,66,969.45,1005.17,36.26,36.26,36.26,Sisimiut,,,GL,,0.0037,1537694548,1537738150,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10.5035,,2.15
99,stations,75,200,-22.52,-63.8,1537729200,3834601,,37,1001.0,,102.2,102.2,102.2,Tartagal,,,AR,4444.0,0.0049,1537696979,1537740711,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",60.0,,9.17
100,stations,36,200,69.22,-51.1,1537728600,3423146,,36,990.0,,44.6,44.6,44.6,Ilulissat,,,GL,4805.0,0.0077,1537693907,1537737544,1.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",120.0,,17.22
101,stations,40,200,19.02,-102.1,1537728000,3994674,,69,1020.0,,75.2,75.2,75.2,Nueva Italia de Ruiz,,,MX,4027.0,0.0043,1537706259,1537749774,1.0,24140.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",190.0,,6.93
102,stations,0,200,-34.42,19.24,1537731367,3366880,993.53,94,993.53,1033.98,43.01,43.01,43.01,Hermanus,,,ZA,,0.0035,1537677014,1537720839,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",113.504,,3.94
103,stations,0,200,26.33,43.97,1537729200,107304,,27,1013.0,,89.6,89.6,89.6,Buraydah,,,SA,6984.0,0.0032,1537671199,1537714731,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",19.5035,,5.28
104,stations,75,200,22.08,-159.32,1537728960,5848280,,84,1013.0,,81.12,82.94,78.98,Kapaa,,,US,833.0,0.0031,1537719998,1537763492,1.0,16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",140.0,,8.05
